activity,time,prop,prop_relative,prop_smooth
Golfing,2023-01-01T17:25:00Z,0.00146623131113534,0.6253260117530486,0.6275703072350766
Golfing,2023-01-01T17:30:00Z,0.00145324101551436,0.6197858424151897,0.5980518940800458
Golfing,2023-01-01T17:35:00Z,0.00128736888722701,0.5490438280718988,0.5688193827031314
Golfing,2023-01-01T17:40:00Z,0.00126060277812201,0.5376284776223054,0.5428268040999339
Golfing,2023-01-01T17:45:00Z,0.00127040295078243,0.5418081066055975,0.5369404778598018
Golfing,2023-01-01T17:50:00Z,0.0012459630492547,0.5313848493515025,0.5357151499519515
Golfing,2023-01-01T17:55:00Z,0.00125198352619039,0.5339524938987542,0.5407384845282711
Golfing,2023-01-01T18:00:00Z,0.00130573829732332,0.5568781103345569,0.5188018368447022
Golfing,2023-01-01T18:05:00Z,0.00109165538050049,0.46557490630079523,0.4943164833856959
Golfing,2023-01-01T18:10:00Z,0.00107974764651621,0.46049643352173536,0.46362248030098535
Golfing,2023-01-01T18:15:00Z,0.00108982927927022,0.4647961010804253,0.4581294953457662
Golfing,2023-01-01T18:20:00Z,0.00105301639996124,0.4490959514351379,0.45029382451096356
Golfing,2023-01-01T18:25:00Z,0.00102462964867603,0.43698942101732746,0.43828798921359585
Golfing,2023-01-01T18:30:00Z,0.00100537733916948,0.4287785951883223,0.41196249435668425
Golfing,2023-01-01T18:35:00Z,8.67836522034238e-4,0.370119466864403,0.38756920406683815
Golfing,2023-01-01T18:40:00Z,8.530413635302462e-4,0.36380955014778926,0.3685971389553611
Golfing,2023-01-01T18:45:00Z,8.719232589912279e-4,0.3718623998538912,0.3657052850793418
Golfing,2023-01-01T18:50:00Z,8.474945246414177e-4,0.36144390523634484,0.3603811686355831
Golfing,2023-01-01T18:55:00Z,8.155902448149787e-4,0.3478372008165134,0.35271091303273616
Golfing,2023-01-01T19:00:00Z,8.179688317744042e-4,0.3488516330453503,0.3325756413705477
Golfing,2023-01-01T19:05:00Z,7.058581691351831e-4,0.3010380902497794,0.31817485743672946
Golfing,2023-01-01T19:10:00Z,7.142916585809023e-4,0.30463484901505866,0.30363347417968384
Golfing,2023-01-01T19:15:00Z,7.156812360021071e-4,0.30522748327421334,0.29908127984994515
Golfing,2023-01-01T19:20:00Z,6.73836936681136e-4,0.2873815072605635,0.2918525407895553
Golfing,2023-01-01T19:25:00Z,6.634429651738073e-4,0.28294863183388896,0.2845840369948582
Golfing,2023-01-01T19:30:00Z,6.645528278665775e-4,0.283421971890122,0.2742380036132564
Golfing,2023-01-01T19:35:00Z,6.010604434358172e-4,0.2563434071157582,0.2632476174920027
Golfing,2023-01-01T19:40:00Z,5.861339394036785e-4,0.2499774734701279,0.24935075264021056
Golfing,2023-01-01T19:45:00Z,5.66798929950874e-4,0.24173137733474553,0.23437181072665766
Golfing,2023-01-01T19:50:00Z,4.956949545778127e-4,0.21140658137509954,0.21590531810976896
Golfing,2023-01-01T19:55:00Z,4.562361780464012e-4,0.19457799561946174,0.1988152940710963
Golfing,2023-01-01T20:00:00Z,4.465835804407376e-4,0.19046130521872762,0.17383572918502246
Golfing,2023-01-01T20:05:00Z,3.199826725707635e-4,0.13646788671687804,0.1535697164256344
Golfing,2023-01-01T20:10:00Z,3.1368015814065383e-4,0.13377995734129758,0.13585164298877872
Golfing,2023-01-01T20:15:00Z,3.219503800404353e-4,0.13730708490816054,0.13264252052400613
Golfing,2023-01-01T20:20:00Z,2.97408931430875e-4,0.12684051932256024,0.13032937451776036
Golfing,2023-01-01T20:25:00Z,2.97408931430875e-4,0.12684051932256024,0.12689031181569088
Golfing,2023-01-01T20:30:00Z,2.9775918383257637e-4,0.12698989680195213,0.11388505935635618
Golfing,2023-01-01T20:35:00Z,2.0592685005236847e-4,0.08782476194455612,0.09857029530465855
Golfing,2023-01-01T20:40:00Z,1.8968118868610263e-4,0.08089622716746739,0.08170868994956103
Golfing,2023-01-01T20:45:00Z,1.791505864146835e-4,0.07640508073665961,0.07376048950740242
Golfing,2023-01-01T20:50:00Z,1.5001729182304423e-4,0.06398016061808026,0.06682034516439087
Golfing,2023-01-01T20:55:00Z,1.408625401015258e-4,0.060075794138432725,0.056615955123651716
Golfing,2023-01-01T21:00:00Z,1.0737044657934544e-4,0.04579191061444217,0.04682739123180157
Golfing,2023-01-01T21:05:00Z,8.116217337509718e-5,0.03461446894252981,0.03502809640450021
Golfing,2023-01-01T21:10:00Z,5.7863455464349014e-5,0.024677909656528677,0.02799009608519572
Golfing,2023-01-01T21:15:00Z,5.7863455464349014e-5,0.024677909656528677,0.024677909656528677
Golfing,2023-01-01T21:20:00Z,5.7863455464349014e-5,0.024677909656528677,0.02312106853790082
Golfing,2023-01-01T21:25:00Z,4.691225967994941e-5,0.020007386300645105,0.021564227419272965
Golfing,2023-01-01T21:30:00Z,4.691225967994941e-5,0.020007386300645105,0.017155488896907056
Golfing,2023-01-01T21:35:00Z,2.6851325746702094e-5,0.011451694089430952,0.01363166403847924
Golfing,2023-01-01T21:40:00Z,2.2124826028024115e-5,0.009435911725361665,0.010107839180051427
Golfing,2023-01-01T21:45:00Z,2.2124826028024115e-5,0.009435911725361665,0.008038731952991297
Golfing,2023-01-01T21:50:00Z,1.2296726647712068e-5,0.005244372408250562,0.00664155218062093
Golfing,2023-01-01T21:55:00Z,1.2296726647712068e-5,0.005244372408250562,0.005244372408250562
Golfing,2023-01-01T22:00:00Z,1.2296726647712068e-5,0.005244372408250562,0.005244372408250562
Golfing,2023-01-01T22:05:00Z,1.2296726647712068e-5,0.005244372408250562,0.005244372408250562
Golfing,2023-01-01T22:10:00Z,1.2296726647712068e-5,0.005244372408250562,0.00407093026822511
Golfing,2023-01-01T22:15:00Z,4.0424517166840355e-6,0.0017240459881742083,0.0028974881281996594
Golfing,2023-01-01T22:20:00Z,4.0424517166840355e-6,0.0017240459881742083,0.0017240459881742085
Golfing,2023-01-01T22:25:00Z,4.0424517166840355e-6,0.0017240459881742083,0.0013782390045847838
Golfing,2023-01-01T22:30:00Z,1.6099620197018744e-6,6.866250374059351e-4,0.0011852712627696694
Golfing,2023-01-01T22:35:00Z,2.6850700960384344e-6,0.001145142762728865,9.923035209545548e-4
Golfing,2023-01-01T22:40:00Z,2.6850700960384344e-6,0.001145142762728865,0.001145142762728865
Golfing,2023-01-01T22:45:00Z,2.6850700960384344e-6,0.001145142762728865,0.001145142762728865
Golfing,2023-01-01T22:50:00Z,2.6850700960384344e-6,0.001145142762728865,0.0015119922716757387
Golfing,2023-01-01T22:55:00Z,5.265577989759082e-6,0.002245691289569487,0.0018788417806226132
Golfing,2023-01-01T23:00:00Z,5.265577989759082e-6,0.002245691289569487,0.002245691289569487
Golfing,2023-01-01T23:05:00Z,5.265577989759082e-6,0.002245691289569487,0.00462838179423681
Golfing,2023-01-01T23:10:00Z,2.2025997468684093e-5,0.009393762803571458,0.007011072298904134
Golfing,2023-01-01T23:15:00Z,2.2025997468684093e-5,0.009393762803571458,0.009026913294624584
Golfing,2023-01-01T23:20:00Z,1.944548957496345e-5,0.008293214276730838,0.008660063785677711
Golfing,2023-01-01T23:25:00Z,1.944548957496345e-5,0.008293214276730838,0.008293214276730838
Golfing,2023-01-01T23:30:00Z,1.944548957496345e-5,0.008293214276730838,0.008293214276730838
Golfing,2023-01-01T23:35:00Z,1.944548957496345e-5,0.008293214276730838,0.008293214276730838
Golfing,2023-01-01T23:40:00Z,1.944548957496345e-5,0.008293214276730838,0.008064339264262192
Golfing,2023-01-01T23:45:00Z,1.783552755526157e-5,0.0076065892393249,0.007835464251793546
Golfing,2023-01-01T23:50:00Z,1.783552755526157e-5,0.0076065892393249,0.0076065892393249
Golfing,2023-01-01T23:55:00Z,1.783552755526157e-5,0.0076065892393249,0.0076065892393249
Golfing,2023-01-02T00:00:00Z,1.783552755526157e-5,0.0076065892393249,0.0076065892393249
Hiking,2023-01-02T00:00:00Z,0,0,0
Hiking,2023-01-02T00:05:00Z,0,0,0
Hiking,2023-01-02T00:10:00Z,0,0,0
Hiking,2023-01-02T00:15:00Z,0,0,0
Hiking,2023-01-02T00:20:00Z,0,0,0
Hiking,2023-01-02T00:25:00Z,0,0,0
Hiking,2023-01-02T00:30:00Z,0,0,0
Hiking,2023-01-02T00:35:00Z,0,0,0
Hiking,2023-01-02T00:40:00Z,0,0,0
Hiking,2023-01-02T00:45:00Z,0,0,0
Hiking,2023-01-02T00:50:00Z,0,0,0
Hiking,2023-01-02T00:55:00Z,0,0,0
Hiking,2023-01-02T01:00:00Z,0,0,0
Hiking,2023-01-02T01:05:00Z,0,0,0
Hiking,2023-01-02T01:10:00Z,0,0,0
Hiking,2023-01-02T01:15:00Z,0,0,0
Hiking,2023-01-02T01:20:00Z,0,0,0
Hiking,2023-01-02T01:25:00Z,0,0,0
Hiking,2023-01-02T01:30:00Z,0,0,0
Hiking,2023-01-02T01:35:00Z,0,0,0
Hiking,2023-01-02T01:40:00Z,0,0,0
Hiking,2023-01-02T01:45:00Z,0,0,0
Hiking,2023-01-02T01:50:00Z,0,0,0
Hiking,2023-01-02T01:55:00Z,0,0,0
Hiking,2023-01-02T02:00:00Z,0,0,0
Hiking,2023-01-02T02:05:00Z,0,0,0
Hiking,2023-01-02T02:10:00Z,0,0,0
Hiking,2023-01-02T02:15:00Z,0,0,0
Hiking,2023-01-02T02:20:00Z,0,0,0
Hiking,2023-01-02T02:25:00Z,0,0,0
Hiking,2023-01-02T02:30:00Z,0,0,0
Hiking,2023-01-02T02:35:00Z,0,0,0
Hiking,2023-01-02T02:40:00Z,0,0,0
Hiking,2023-01-02T02:45:00Z,0,0,0
Hiking,2023-01-02T02:50:00Z,0,0,0
Hiking,2023-01-02T02:55:00Z,0,0,0
Hiking,2023-01-01T03:00:00Z,0,0,0
Hiking,2023-01-01T03:05:00Z,0,0,0
Hiking,2023-01-01T03:10:00Z,0,0,0
Hiking,2023-01-01T03:15:00Z,0,0,0
Hiking,2023-01-01T03:20:00Z,0,0,0
Hiking,2023-01-01T03:25:00Z,0,0,0
Hiking,2023-01-01T03:30:00Z,0,0,0
Hiking,2023-01-01T03:35:00Z,0,0,0
