country,trend_strength,spikiness,linearity,curvature,stl_e_acf1,stl_e_acf10
Lao PDR,0.963418925795937,1.694751415087201e-11,0.3758402171492645,-0.0021084887643097487,0.2054228561250343,0.20704766024338134
Latvia,0.960512908990087,1.6085982048315771e-6,4.9614191808881705,2.0225015149617946,0.36876666347567244,0.4781459480727847
Lebanon,0.9694507072955854,6.0824353593950354e-6,7.338207065157168,-0.2831387711534731,0.21410898306720896,0.21442063522733107
Lesotho,0.9470924207679793,2.7991310728224917e-9,0.6915671956462828,-0.16502663844032425,0.18741478423197205,0.2112866699088198
Liberia,0.8165439131232898,2.0953861115344634e-9,-0.21832680521048722,-0.008272229864584753,0.1744262275290658,0.3418141747763867
Libya,0.9074886575744232,1.696328788185645e-5,4.094514743081924,1.264503109069111,0.2699993464686991,0.4224250445082966
Lithuania,0.9700480823131691,2.902999754546559e-6,6.438188903583034,2.6574538618198007,0.2558361012556177,0.4609580059187948
Luxembourg,0.8043900462659475,5.1528477104765274e-5,1.3046684476693728,1.8168758949230428,-1.2530836348697086e-4,0.1999452684988947
"Macedonia, FYR",0.9671442696548362,2.316212928902183e-6,5.840656659920547,1.5568603222005817,0.26240306642943384,0.2782109278482372
Madagascar,0.4979520610696724,3.254723258930514e-11,-0.017404072943588512,0.03156661376788254,0.18023097418289166,0.3497194534066754
Malawi,0.8598068660140896,2.664809310465024e-12,0.04981991409457906,-0.028759571967225724,0.25350929099822617,0.4178508540315164
Malaysia,0.985119757556236,3.060775647519991e-7,6.286415133506816,1.1827077548098321,0.09326255210955932,0.2374383193373487
Mali,0.9778695968515527,1.7216486689543044e-12,0.28920479898128015,0.05334920536072615,0.25358681000898686,0.19486654082299534
Malta,0.9691194062746683,9.477800844001443e-6,9.37064903816105,-5.557368741843182,0.03417388787062801,0.16232461172069784
Mauritania,0.1639531599995947,3.99329584519364e-8,0.05044342189486871,0.05050737873796456,-0.06616415761151129,0.033195158237935354
Mexico,0.8959399472262044,2.8103163087633447e-6,2.7674382375058597,-0.6288517331231389,-0.25496700955003326,0.34095841647235264
Moldova,0.9385079651432247,5.662914117570342e-7,2.600943662237169,0.8935694736569907,0.2353806336980397,0.3386141917230211
Mongolia,0.1639531599995948,0.001414456689615321,0.6920206941202299,0.6928981020614514,-0.06616415761151133,0.03319515823793537
Montenegro,0.9127256282442503,1.670840419695555e-5,3.861108965465394,3.182912947663329,0.3188736506279616,0.38910749465314076
Morocco,0.16395315999959492,9.677539840382203e-7,0.11192134232923996,0.11206324657485889,-0.0661641576115113,0.033195158237935354
Mozambique,0.9261644101750862,2.668057093040707e-10,0.370355747540501,0.12673492016194116,-0.04701781526813591,0.18022849960664786
Myanmar,0.8923703885104537,7.658679393021148e-12,0.12656939959770294,0.07970363221631188,0.21905961140246014,0.1862748660858642
Namibia,0.1639531599995947,4.991909275655176e-6,0.16867019196096722,0.16888404765506895,-0.06616415761151129,0.033195158237935354
Nepal,0.9771131801462328,1.1811735606770848e-11,0.34667318722783247,0.10311349836696217,-0.04519720803051611,0.12559140725671977
Netherlands,0.8334278367163808,4.39578305318626e-6,1.797386255016083,-1.3435195723401123,0.08567201129637664,0.26241474428438716
New Zealand,0.8431129038443987,2.4536004550250673e-4,6.343004811097114,-2.274150687418455,0.045109521860857565,0.08714855151136731
Nicaragua,0.8604917975427744,2.9317370442858354e-9,0.44874518682035225,0.07878611217227359,0.08758385352397954,0.3172957041642865
Niger,0.936194103445258,4.588800468332965e-13,0.08491302979611251,-0.04688911271242367,-0.09222373592714123,0.20828253462224058
Nigeria,0.9528617236347372,5.885208975545135e-11,0.41144834046288137,-0.1274029624399855,0.3896589665168541,0.2906145704029871
Norway,0.8316507148677245,8.063438869104368e-6,-1.450083923384747,0.3138019672778978,0.33063708962525945,0.54602368676017
Oman,0.9711172100206069,1.4781672801727052e-5,11.70907658123727,4.599826784863363,0.2057100552189185,0.36482511161623044
Pakistan,0.9917830590573339,3.343935553489384e-12,0.5974764503882506,0.084129336075232,0.3345773611253627,0.5875475346724262
Panama,0.9164457035797344,8.213483321968148e-8,2.010533606519305,-0.16912094237285702,0.2628455317369195,0.3060034057854825
Papua New Guinea,0.1639531599995948,1.7403033849269952e-8,0.040985280289580824,0.04103724522459621,-0.06616415761151126,0.03319515823793535
Paraguay,0.9629569722811354,7.616108370432534e-10,0.9616926166598649,0.040242330556393466,0.3804493298425833,0.3880600797935688
Peru,0.9486788832620688,4.107413605264266e-10,0.6112856342196735,0.23490209589307054,0.24593796431767442,0.24832648471248941
Philippines,0.9654111771680678,7.623271265660107e-11,0.5116692176275212,-0.21126061404106802,0.3639346778210262,0.28029530351632015
Poland,0.9600080237301404,2.8539048695749902e-5,8.757899812193507,0.5604935659261534,0.22600514855303006,0.20808879037871345
Portugal,0.9937043073253363,1.725618735304057e-8,5.908740875160713,-0.9791200663369503,0.2961565242078932,0.5367185594155774
